"ID"	"EUPHEMISM"	"MEANING_IN_CHINESE"	"FIGURATIVE_TYPE"	"EXAMPLE"
"ID-0854"	"青春痘"	"痤疮"	"Metonymy"	"如果你的油脂分泌旺盛或是爱长青春痘，经常敷清洁或控油面膜，可以很有效地控制青春痘的生长。(CCL)"
"ID-0855"	"弱听人士"	"失去听力；聋"	"Metonymy"	"若婷儿童。(Zhu 2018, p. 180)"
"ID-0856"	"弱能人士"	"残疾人"	"Metonymy"	"香港共有各种弱能人士28万余人。(CCL)"
"ID-0857"	"弱视人士"	"失去视力；瞎"	"Metonymy"	"队伍中年龄最大的74岁,最小的20岁，其中还包括1名弱视人士。(CCL)"
"ID-0858"	"弱智人士"	"指智力发育低于正常水平"	"Metonymy"	"澳门弱智人士协会成立于1986年。(CCL)"
"ID-0859"	"身体不适"	"有病"	"Metonymy"	"近日身体不适，不能饮酒。(CCL)"
"ID-0860"	"身体不舒服"	"有病"	"Metonymy"	"最近她身体不大舒服， 一定要拉回家里， 亲自看着加几道漆。(CCL)"
"ID-0861"	"身体不爽快"	"有病"	"Metonymy"	"她身体不爽快时往往如此。(CCL)"
"ID-0862"	"身体欠佳"	"有病"	"Metonymy"	"他说王厂长身体欠佳在家休息。(CCL)"
"ID-0863"	"肾虚"	"男性丧失性欲；性欲减退"	"Metaphor"	"有这10个症状说明你肾虚了。[http://health.people.com.cn/n1/2016/0808/c21471-28618043.html]"
"ID-0864"	"失聪"	"失去听力；聋"	"Metaphor"	"双耳失聪。(BCC)"
"ID-0865"	"失明"	"失去视力；瞎"	"Metaphor"	"双目失明。(BCC)"
"ID-0866"	"视障者"	"失去视力；瞎"	"Metonymy"	"我也听说他是个视障者	，双眼看不见。(BCC)"
"ID-0867"	"特奥运"	"国际特殊奥林匹克运动会，为智障者参与体育活动、开展比赛而设立的综合性运动会"	"Metonymy"	"特奥运的口号是”战胜自己”。(Zhu 2018, p. 213)"
"ID-0868"	"特殊教育"	"以盲人、聋哑人、智障人为施教对象的教育"	"Metonymy"	"号召广大干部职工及爱心人士献出一份爱心，关爱残疾孩子，发展特殊教育。(Zhu 2018, p. 214)"
"ID-0869"	"听障者"	"失去听力；聋"	"Metonymy"	"我一直都上的听障儿童学校。(Zhu 2018, p. 216)"
"ID-0870"	"违和"	"有病"	"Metonymy"	"前些日子，听说老伯贵体违和。(BCC)"
"ID-0871"	"微恙"	"有病"	"Metonymy"	"起床时，您觉得身体微恙。(BCC)"
"ID-0872"	"小恙"	"有病"	"Metonymy"	"《儒林外史：第二九回》： “况且那日小弟小恙进场，以药物自随，草草塞责而已。”"
"ID-0873"	"行动受限人群"	"肢体有缺陷"	"Metonymy"	"英特尔人工智能，帮助行动受限人群掌控自己的生活。[https://www.xuehua.us/a/5ebbd12086ec4d2e14de37b6?lang=zh-cn]"
"ID-0874"	"阳萎"	"阳痿；男子性器无法坚挺"	"Metonymy"	"如何治疗阳萎的6种方法。[https://jbk.39.net/yw/140919/4477430.html]"
"ID-0875"	"阴萎"	"阴痿，男子性功能衰败，阴茎不举的病症"	"Metonymy"	"《史记：五宗世家》： “端为人贼戾，又阴痿，一近妇人，病之数月。”"
"ID-0876"	"一号病"	"鼠疫"	"Metonymy"	"记者曾对多位路人进行随机调查，结果几乎没有人知道“一号病”是什么。(Zhu 2018, p. 262)"
"ID-0877"	"隐疾"	"说不出口，不愿意告诉人的病，如性病、天阉等。"	"Metonymy"	"不读他书的人，将患莫名的	隐疾	，性情日益压抑忧郁，至少也会毛发根根脱落。(CCL)"
"ID-0878"	"硬不起来"	"男子性器无法坚挺"	"Metonymy"	"應該要等到五六十歲才會硬不起來啊！[https://health.businessweekly.com.tw/AArticle.aspx?id=ARTL000069573]"
"ID-0879"	"有特殊需要人士"	"残疾人"	"Metonymy"	"我们致力改善有特殊需要人士的生活质素。(BCC)"
"ID-0880"	"有智力障碍"	"指智力发育低于正常水平"	"Metonymy"	"图显示中度不正常且伴有智力障碍者。(BCC)"
"ID-0881"	"有智能障碍　"	"指智力发育低于正常水平"	"Metonymy"	"检查结果表明受试者中60%有智能障碍,并提示这些病人的智能障碍起源于大脑皮质,特别是双侧额叶。(BCC)"
"ID-0882"	"脏病"	"性病"	"Metaphor"	"妈，我过上了他的脏病。(Zhu 2018: 276)"
"ID-0883"	"肢障"	"肢体残疾"	"Metonymy"	"看过唐氏症的孩子吧？还有先天心脏不全、肢障	、畸形儿、智障、先天骨质萎缩症。(BCC)"
"ID-0884"	"智障人士"	"指智力发育低于正常水平"	"Metonymy"	"这群特殊的学员都是智障人士。(BCC)"
"ID-0885"	"智障者"	"指智力发育低于正常水平"	"Metonymy"	"国际智障者体育运动联合会。 (BCC)"
"ID-0886"	"重听"	"听觉迟钝; 耳聋"	"Metonymy"	"这就是为什么我假设你有点重听。(CCL)"
"BS-0887"	"XXOO / OOXX"	"性交"	"Graphic Modification"	" 为什么做爱要叫xxoo？[https://read01.com/GP80OAm.html]"
"BS-0888"	"A片"	"内容有色情或性爱成分的成人电影"	"Metonymy"	"…还真的一度觉得自己很像在拍A片。(Zhu 2018: 2)"
"BS-0889"	"爱爱"	"性交"	"Reduplication"	"爱爱之后抱抱才是最享受的。[https://www.kexiaoguo.com/meiju84/431/]"
"BS-0890"	"暧昧"	"有不正当男女关系"	"Metonymy"	"令读者困惑的秦可卿和贾珍之间的暧昧关系，到底是怎么回事？(Zhu 2018: 1)"
"BS-0891"	"爱情动作片"	"色情片"	"Metonymy"	"医学生用洗手液，有那么一刹那让我想起日本爱情动作片。(BCC)"
"BS-0892"	"办事"	"性交"	"Metonymy"	"男人长期不“办事”，当心这4大危害！[http://man.39.net/xmt/190131/6850747.html]"
"BS-0893"	"暴露"	"过分裸露身体的一部分或大部分"	"Metonymy"	"你说我穿这游泳衣好看么？是不是太暴露了？(Zhu 2018, p. 10)"
"BS-0894"	"闭房"	"停止房事"	"Metonymy"	"在这本书中，经学大师们对性问题非常重视，甚至讨论了老年人的性交问题：男子六十闭房何？所以辅衰也，故重性命也。(Zhu 2018, p. 12)"
"BS-0895"	"碧桃花下"	"指男女约会的地方"	"Metaphor"	"元 · 张寿卿《红梨花：第二折》： ""俺从那期程，伴著这书生，直吃的碧桃花下月三更。“"
"BS-0896"	"BL"	"同性恋者"	"Borrowing"	"GAY和BL的区别是什么？[https://zhidao.baidu.com/question/1385318460026296940.html]"
"BS-0897"	"玻璃"	"同性恋者"	"Borrowing"	"为什么把女同性恋叫玻璃？[https://zhidao.baidu.com/question/17511452.html]"
"BS-0898"	"炒饭"	"性交"	"Metaphor"	"难道，他说想跟她炒饭，是指......她的脸瞬间爆红得媲美番茄，目光变得惊愕。[http://m.wuyexs.com/wuyexs.asp?id=719046]"
"BS-0899"	"车震"	"在汽车上发生性行为"	"Metonymy"	"情人节车震事件。[https://www.69shu.com/txt/1466/4057440]"
"BS-0900"	"成人"	"指不适合儿童观看的电影、节目；特指可以增强性欲的用品等"	"Metonymy"	"成人用品商店。(HDC 2010)成人电影。(GC 2015)"
"BS-0901"	"楚梦"	"性交"	"Metaphor"	"清 · 珠泉居士 《雪鸿小记》：  “葳蕤自守，楚梦犹虚，余友潘子研香亟称之。”"
"BS-0902"	"床上"	"性交"	"Metonymy"	"他的床上功夫可是一点不如你。(CCL)"
"BS-0903"	"床帏"	"夫妻间的事，性生活"	"Metonymy"	"唐太宗杀了弟弟元吉，就立即占领了兄弟媳妇的床帏，还把隋炀帝的潇后揽入怀中。(Zhu 2018, p. 39)"
"BS-0904"	"床戏"	"电视剧中性爱情节的称呼"	"Metonymy"	"有背叛、有爱情、有暴力、有魔法的特效、还有隐形	的床戏，我没有什么可抱怨的了。(CCL)"
"BS-0905"	"床笫之欢"	"夫妇之间或有性关系的双方之间的做爱活动"	"Metonymy"	"女人需要学会享受床笫之欢。[https://fashion.ifeng.com/emotion/sex/detail_2012_01/06/11791127_0.shtml?_from_ralated]"
"BS-0906"	"春册"	"指淫秽的图画"	"Metaphor"	"男女淫亵之图。也称春宫、春册。(GC 2015)"
"BS-0907"	"春风一度"	"男女性生活"	"Metaphor"	"《金瓶梅》：“不是长久夫妻, 也算春风一度。”"
"BS-0908"	"春宫"	"指淫秽的图画"	"Metaphor"	"《红楼梦》第二十六回：“昨儿我看人家一张春宫，画的着实好。”"
"BS-0909"	"春光"	"身体敏感部位"	"Metaphor"	"虽然透过...挡住了身体的主要部位，只有在岳母弯腰或转身时我才能扑捉到她泄露的点点春光。[https://www.nwxs8.com/news/58609_13.html]"
"BS-0910"	"春情"	"男女情欲"	"Metaphor"	"鲁迅 《准风月谈·男人的进化》： “它们在春情发动期，雌的和雄的碰在一起，难免‘卿卿我我’的来一阵。"
"BS-0911"	"春色"	"色情"	"Metaphor"	"童暧暧抬着他的颈子，他愈问她愈想，害她现在满脑子都是春色无边的画面。(BCC)"
"BS-0912"	"春事"	"男女情欲"	"Metaphor"	"明 · 沉仕 《偶见》曲之二：“交鸞凤春事无涯，不觉香露滴、牡丹芽。”"
"BS-0913"	"春宵"	"男女共度一夜时光"	"Metaphor"	"他渴望带她上楼，共度春宵。(BCC)"
"BS-0914"	"春兴"	"男女情欲"	"Metaphor"	"《红楼梦》第六十五回：“那贾琏吃了几杯，春兴发作，便命收了酒果，掩门宽衣。”"
"BS-0915"	"春药"	"刺激性欲的药物"	"Metaphor"	"两老夫妇就跪在地下劝她改嫁给制台作如夫人；寡媳不肯。乃暗中让她吃进一些春药，使她心痒难搔，不得不答应。(Zhang 2018, p. 43)"
"BS-0916"	"春意"	"性爱恋之情"	"Metaphor"	"《白雪遗音：马头调：佳期》：“一个是姣羞满面，一个是春意满怀。”"
"BS-0917"	"春画"	"指淫秽的图画"	"Metaphor"	"那里是繁华，灿烂，鸦片，妓女，烧酒，洋钱，锅贴儿，文化。那里有杨梅，春画，电灯，影戏，麻雀，宴会，还有什么？——有个日本租界！(Zhang 2018, p .41)"
"BS-0918"	"CN"	"处女，处男"	"Acronymy"	"女朋友不给爱爱，她还是CN，说到结婚才能给，怎么忍？[https://www.douban.com/group/topic/72582466]"
"BS-0919"	"打撅"	"男女苟合"	"Metonymy"	"《金瓶梅》第二十五回： “先在山子底下，落后在屋里打撅，成日明睡到夜， 夜睡到明。 ”"
"BS-0920"	"打野炮"	"性交"	"Metaphor"	"日现在来咖啡馆的怎么不是来吹牛比的要么就是来摸大腿的还有来打野炮的。(BCC)"
"BS-0921"	"打野战"	"性交"	"Metaphor"	"俗稱打野戰（香港用語）、打野炮（台灣用語）。[https://www.easyatm.com.tw/wiki/打野戰%5B網路流行語%5D]"
"BS-0922"	"颠鸾倒凤"	"男女交欢"	"Metonymy"	"《金瓶梅》第十三回：“颠鸾倒凤无穷乐，从此双双永不离。”"
"BS-0923"	"断背"	"男性之间的恋爱"	"Borrowing"	"断背感情。断背的场面。(Zhu 2018, p. 66)"
"BS-0924"	"敦伦"	"性交"	"Metonymy"	"日记云：昨夜与老妻‘敦伦’一次。(BCC)"
"BS-0925"	"翻云覆雨"	"性交"	"Metaphor"	"呈祥猛地抽掉她的亵裤，一面解开自己的裤头，就在这石桌上与她翻云覆雨、浪情荡漾。(BCC)"
"BS-0926"	"房内"	"过夫妻生活，过性生活"	"Metonymy"	"在中国古代，“房内”即指性交，“房中术”即是性科学。(Zhu 2018, p. 72)"
"BS-0927"	"房室之事"	"性生活"	"Metonymy"	"《二刻拍案惊奇》卷三五：“有一个女子陈氏，年十四岁，嫁与周世文为妻，世文年纪更小似陈氏两岁，未知房室之事。”"
"BS-0928"	"房中术"	"男女性交的方术"	"Metonymy"	"他所创立的导引术、膳食术、房中术、炼丹术，是中华民族长寿文化的瑰宝。[https://www.tspweb.com/key/彭祖闭气功.html]"
"BS-0929"	"房中书"	"性主题的书籍"	"Metonymy"	"房中书在中国是属于方技四门之一。[http://www.swmctcm.com/hcs/old_web/zhnkw/ancientry/9.htm]"
"BS-0930"	"发生关系"	"性交"	"Metonymy"	"我现在的女朋友，很单纯，不同意发生关系。[https://www.zhihu.com/question/23340124]"
"BS-0931"	"蜂狂蝶乱"	"恣意放荡的性爱"	"Metaphor"	"明 · 王玉峰 《焚香记：允谐》： “那淫奔坞，多少蜂狂蝶乱，毕竟傍谁虚度。”"
"BS-0932"	"风流"	"有关男女私情的，在男女私情方面轻浮放荡"	"Metaphor"	"我们年轻时，不用说实际上，那怕没有一件两件风流奇闻，可是终还顾着脸子。[https://www.dushu.com/showbook/118193/1595420.html]"
"BS-0933"	"风流韵事"	"男女私情"	"Metonymy"	"巴金 《家》三一：“他常常带着 张小桃 进出他的律师事务所。他的‘风流韵事’还多得很。”"
"BS-0934"	"蜂帐"	"男女合欢的场所"	"Metaphor"	"明 · 陈汝元 《金莲记：媒合》： “风传漏滴莲铜响，且沉醉花屏蜂帐，只有清话今宵觉夜长。”"
"BS-0935"	"夫妻生活"	"夫妻间的性生活"	"Metonymy"	"夫妻“生活”，一周几次才算正常？[https://www.163.com/dy/article/G4DDMNBB0532RAXA.html]"
"BS-0936"	"附枕"	"过性生活"	"Metonymy"	"明 · 沉德符 《野获编：妓女：刘凤台》： “因抱玉主自随，昼则供食，夕则附枕。”"
"BS-0937"	"高唐梦"	"男女交欢之事"	"Metaphor"	"痴情纵有高唐梦，不作巫山一段云。(Zhu 2018, p. 84)"
"BS-0938"	"媾合"	"男女交合"	"Metonymy"	"《元典章：户部四：丁庆一争婚》： “令吴江洲议拟徐伴哥强取丁阿女媾合。”"
"BS-0939"	"滚床单"	"性交"	"Metonymy"	"第一次滚床单，她下面流血，吓我不轻。(BCC)"
"BS-0940"	"happy"	"性交"	"Borrowing"	"不过痛苦是暂时的，我现在跟女友happy起来爽多了。[http://38.103.161.47/bbs/thread-3342933-17-177.html]"
"BS-0941"	"合房"	"男女交媾"	"Metonymy"	"今晚二爷要与新来的女人合房。(BCC)"
"BS-0942"	"合欢"	"性行为"	"Metonymy"	"那是八叶和妓女们，他们在合欢。(BCC)"
"BS-0943"	"嘿咻"	"性交"	"Onomatopoeia"	"他告诉我必须等到婚礼结束才可以嘿咻。[https://m.douban.com/group/topic/13407299/]"
"BS-0944"	"欢会"	"男女之间性爱之事"	"Metonymy"	"《初刻拍案惊奇》卷十七：“这吴氏正待与知观欢会，吃那一惊也不小，同丫鬟两个抖做了一团。”"
"BS-0945"	"荤"	"有关男女间淫秽事情的"	"Metaphor"	"荤笑话。荤话。荤歌。(GF 2014)"
"BS-0946"	"活春宫"	"性爱镜头"	"Metaphor"	"床上正上演着妖精打架的活春宫呢。(BCC)"
"BS-0947"	"肌肤之亲"	"男女发生性接触"	"Metonymy"	"袭人是惟一和宝玉有过	肌肤之亲的。(CCL)"
"BS-0948"	"激情戏"	"影视剧里男女情感强烈的爱情镜头，包括一些床戏、热吻等"	"Metonymy"	"不过谈到片中的激情戏，文章用""别扭""二字形容。(BCC)"
"BS-0949"	"荐枕席"	"女子陪男子同寝"	"Metonymy"	"《文选：宋玉：高唐赋》：“妾巫山之女也，为高唐之客。闻君游高唐，愿荐枕席。”"
"BS-0950"	"交感"	"性交"	"Metonymy"	"《二刻拍案惊奇》卷三十： “遂欣然留与同宿，交感之际，一如人道。”"
"BS-0951"	"交媾"	"性交"	"Metonymy"	"正常的男性性行为应包括性欲冲动、勃起、交媾、精、射精及的满足等。(BCC)"
"BS-0952"	"交合"	"性交"	"Metonymy"	"雌雄交合。(GF 2014)"
"BS-0953"	"交欢"	"性交"	"Metonymy"	"经商，你当然不懂，因为，你只能卑贱地与不同的男人交欢、利用男人。(BCC)"
"BS-0954"	"交会"	"性交"	"Metonymy"	"《初刻拍案惊奇》卷二十：“人之不能生育，多因交会之际精力衰微。”"
"BS-0955"	"交接"	"性交"	"Metonymy"	"《二刻拍案惊奇》卷三十： “妾于去年七月七日与君交接，已受妊，今当产了。”"
"BS-0956"	"居室"	"夫妻间的性生活"	"Metonymy"	"章炳麟 《五无论》： “于是夫妇居室亲族相依之事，必一切废絶之，使人民交相涉入，则庶或无所间介矣。”"
"BS-0957"	"开苞"	"妓女第一次破身接客; 与处女性交"	"Metaphor"	"我不缺女人，这镇上的小女子出阁前都得送上门先让我开苞。(Zhu 2018, p. 126)"
"BS-0958"	"KJ"	"口交"	"Acronymy"	"为什么女友不愿意给我KJ，女人都对这个反感吗？[http://zhidao.baidu.com/question/316732452.html]"
"BS-0959"	"快活"	"性交"	"Metonymy"	"听说你昨晚打电话给我? ——呀,对不起。扫你的兴了，昨晚和她一起快活吧。(BCC)"
"BS-0960"	"连床"	"男女同床媾和"	"Metonymy"	"清 · 蒲松龄 《聊斋志异·章阿端》：“生喜，禁女勿去，留与连牀。”"
"BS-0961"	"两性关系"	"男女之间的性关系"	"Metonymy"	"两性关系是生物个体间最重要的关系，所以也是社会关系和文化形态的基础之一。(Zhu 2018, p. 134)"
"BS-0962"	"毛片"	"带淫秽内容的影片"	"Metonymy"	"如果你正在读高中的儿子看不正当的书籍，甚至看“猫片”了，你该怎么办？(Zhu 2018, p. 146)"
"BS-0963"	"秘戏图"	"指淫秽的图画"	"Metonymy"	"所谓“秘戏图”就是春宫图。[https://www.chinanews.com.cn/cul/2010/12-03/2699798.shtml]"
"BS-0964"	"ML"	"性交"	"Borrowing"	"女人最怕男人在ML时做什么？[https://www.podchaser.com/podcasts/yoyoo-597678/episodes/recent]"
"BS-0965"	"那个"	"性交"	"Deletion"	"他们有没有……那个过？(BCC)"
"BS-0966"	"男女"	"男女之间的性欲"	"Metonymy"	"没有感情的男女之事只能被叫做性，但是有爱情的两个人在一起就叫做做爱了！[https://www.zhihu.com/question/280857062]"
"BS-0967"	"内事"	"性生活"	"Metonymy"	"《二刻拍案驚奇》第十八卷： “玄玄子道：‘要小人傳內事功夫。小人傳了他些口訣，又與了他些丸藥，小人自睡了。’ ”"
"BS-0968"	"啪啪啪"	"性交"	"Onomatopoeia"	"真正的好男人，不會在「啪啪啪」時，只想到他自己！[https://www.storm.mg/lifestyle/118134]"
"BS-0969"	"泡妞"	"跟女孩子厮混在一起"	"Metaphor"	"怎么精神这么差？昨晚又去泡妞去了？(CCL)"
"BS-0970"	"炮友"	"性伙伴"	"Metaphor"	"3种方法来开始一段炮友关系。[https://zh.wikihow.com/开始一段炮友关系]"
"BS-0971"	"piapiapia"	"性交"	"Onomatopoeia"	"老王约了个MM，两人到了宾馆，一顿piapiapia，完事后老王点了根烟惬意地看电视。[http://blog.sina.com.cn/s/blog_151596e560102wd7h.html]"
"BS-0972"	"破璧"	"女子处女膜已经破裂，有过性行为"	"Metaphor"	"清 · 黄轩祖 《游梁琐记：易内奇案》：“钱母喜偿夙愿，遣人询之 庞 ，庞固求之而弗得者，况女已破璧，讼亦无益，遂从之。”"
"BS-0973"	"破茬"	"女子处女膜已经破裂，有过性行为"	"Metaphor"	"《醒世姻缘传》第七二回： “这是程木匠的闺女，魏武举娶了去，嫌破茬，送回来的。”"
"BS-0974"	"破处"	"女子初次性交"	"Metaphor"	"那些婚前破处的女孩，后来都怎样了？[https://zhuanlan.zhihu.com/p/136883332]"
"BS-0975"	"破瓜"	"女子初次性交"	"Metaphor"	"《警世通言：卷三十二：杜十娘怒沉百宝箱》：“那杜十娘自十三岁破瓜，今一十九岁，七年之内，不知历过了多少公子王孙。”"
"BS-0976"	"破身"	"女子初次性交"	"Metaphor"	"《老残游记二编》第六回： “其实若认真从此修行，同那不破身的处子毫无分别。”"
"BS-0977"	"破体"	"女子初次性交"	"Metaphor"	"清 · 李渔 《连城璧》一： “﹝谭楚玉﹞一见藐姑就知道是个尤物，要相识他於未曾破体之先。乃以看戏为名，终日在戏房里面走进走出，指望以眉眼传情，挑逗他思春之念。”"
"BS-0978"	"衾裯事"	"男女性爱之事"	"Metonymy"	"明 · 沉德符 《野获编：内阁三：刘小鲁尚书》： “归刘数年，一日，趺坐而化，若蜕脱者。与所夭终不讲衾裯事，竟以童真辞世。”"
"BS-0979"	"亲热"	"男女肌肤接触，发生性行为"	"Metonymy"	"一个女孩子最不能忍受的事，也许就是一个男人在跟她亲热时，却将她当做了别人。(CCL)"
"BS-0980"	"衾枕之乐"	"男女欢合"	"Metonymy"	"《初刻拍案惊奇》卷十八：“富翁也在那伺候，接至书房，极尽衾枕之乐。”"
"BS-0981"	"情趣用品"	"性用品"	"Metonymy"	"过去8年间，仅在北京就开了5000家情趣用品商店。(Zhu 2018, p. 172)"
"BS-0982"	"情欲"	"性欲"	"Metonymy"	"女性情欲。(BCC)"
"BS-0983"	"求合"	"要求性交"	"Metonymy"	"清 · 东轩主人 《述异记：土像为祟》：“是夕，即有艷妇入室求合， 洪 心乱不能却。”"
"BS-0984"	"求欢"	"提出性交的要求"	"Metonymy"	"《红楼梦》第二十一回：“贾琏见他娇俏动情，便搂着求欢。”"
"BS-0985"	"圈圈叉叉"	"性交"	"Metaphor"	"女生第一次圈圈叉叉到底有多疼！[http://blog.sina.com.cn/s/blog_9c286ab60102w3s4.html]"
"BS-0986"	"人道"	"男女性爱之事"	"Metonymy"	"或者告我冷落香闺，你甚至可以告我不能人道 。你要离婚是不是？(BCC)"
"BS-0987"	"人事"	"男女性爱之事"	"Metonymy"	"然而，在中國歷史上卻出現了這樣一位皇帝，竟然不能人事。[https://kknews.cc/history/4e42qk3.html]"
"BS-0988"	"衽席之好"	"男女性爱之事"	"Metonymy"	"宋 · 洪迈 《夷坚乙志·馀杭宗女》： “每夕与僧饮酒歌笑，旁若无人，通衽席之好。”"
"BS-0989"	"肉欲"	"性欲"	"Metonymy"	"老三晓得，在招弟看来，爱情和肉欲是一回事。(CCL)"
"BS-0990"	"入房"	"发生性关系"	"Metonymy"	"古代人很含蓄地把性行为叫作“房中”，入房就是指做爱。(Zhu 2018, p. 178)"
"BS-0991"	"入港"	"性交"	"Metaphor"	"《红楼梦》第八十回： “宝蟾心里也知八九，也就半推半就，正要入港。”"
"BS-0992"	"桑间濮上"	"男女幽会的地方,淫风流行的地方"	"Metonymy"	"去搜寻一下桑间濮上的爱情。(BCC)"
"BS-0993"	"sex"	"性交"	"Borrowing"	"我和我前前bf交往了快两年，期间有无数机会sex，但是我就是没那感觉，我们也有oral，但最后一步我还是没让他进去。[https://www.douban.com/group/topic/31247999/]"
"BS-0994"	"上床"	"性交"	"Metonymy"	"你跟她上床了吗？(BCC)"
"BS-0995"	"睡"	"性交"	"Metonymy"	"好想睡她啊。[https://twitter.com/435Hz/status/306596263166627842]"
"BS-0996"	"睡觉"	"性交"	"Metonymy"	"女人想不想跟你睡觉就看这五个现象。[http://www.sohu.com/a/144116719_619316]"
"BS-0997"	"同床"	"过性生活"	"Metonymy"	"我父亲醉酒后异常安静，他往往在醉酒后跟母亲同床。(CCL)"
"BS-0998"	"同床共枕"	"过性生活"	"Metonymy"	"只因爸爸一句话，她肚子里带着一个人的娃娃，就去跟另外一个人同床共枕。他满怀羞耻。(Zhu 2018, p. 217)"
"BS-0999"	"同房"	"性交"	"Metonymy"	"我国民间有一种方法，增加每日同房次数（至少3次），可以增加双胞胎的产生率。(BCC)"
"BS-1000"	"同居"	"同住一室，过性生活"	"Metonymy"	"1916年，郭沫若与日本护士佐藤富子（郭安娜）由恋爱而同居。(Zhu 2018, p. 217)"
"BS-1001"	"通体"	"性交"	"Metonymy"	"汉 · 司马相如 《琴歌》之二：“交情通体心和谐，中夜相从知者谁。”"
"BS-1002"	"同屋"	"夫妻间的性生活"	"Metonymy"	"南朝 · 梁 ·  武帝 《净业赋》： “復断房室，不与嬪侍同屋而处四十餘年矣。”"
"BS-1003"	"同席"	"夫妻间的性生活"	"Metonymy"	"《史记：卷一一八：淮南王传》：“王谋为反具，畏太子妃知而内泄事，乃与太子谋，令诈弗爱，三月不同席。”"
"BS-1004"	"同枕"	"过性生活"	"Metonymy"	"自己怎能与这个男人同枕共眠？(CCL)"
"BS-1005"	"推倒"	"性交"	"Metonymy"	"如何增加男友推倒的欲望。[https://1applehealth.com/tag/%E6%8E%A8%E5%80%92ptt-1]"
"BS-1006"	"脱星"	"以裸露身体、拍三级片而成名的演员（多指女的）"	"Metonymy"	"人家都说你快成“脱星”了，你自己怎么看？(Zhu 2018, p. 222)"
"BS-1007"	"完房"	"开始同房过夫妻生活"	"Metonymy"	"《金瓶梅》第九十五回：“拣了个好日子，就与了来兴儿完房，做了媳妇子。”"
"BS-1008"	"完事"	"性交"	"Metonymy"	"突然身边的妹子问老王：“怎么你们男人完事后都喜欢抽烟？”[https://zhuanlan.zhihu.com/p/371549646]"
"BS-1009"	"握雨携云"	"男女欢合"	"Metaphor"	"元 · 王实甫 《西厢记》第四本第二折： “只着你夜去明来，倒有个天长地久，不争你握雨携云，常使我提心在口。”"
"BS-1010"	"巫山云雨"	"男女性行为"	"Metaphor"	"贞娘收拾好了，炀帝便命她上榻相伴，索手索脚地玩笑了一阵，便又巫山云雨，一度春风。(Zhu 2018, pp. 228-229)"
"BS-1011"	"戏果戏孙"	"跟女孩子和男孩子厮混在一起"	"Metaphor"	"北方俗語收得過多，南方流行未曾顧及。比如「沒起子」、「玩兒鬧」、「戲果戲 孫」、「耍單兒」、「尖孫兒」。[https://baike.baidu.hk/item/漢語粗口手冊/4110874]"
"BS-1012"	"西斯"	"性交"	"Borrowing"	"我老婆的模式：結婚前看起來很像聖女的樣子有一次在公車上想要摸一下她的大腿結果被婉拒結婚當天洞房花燭夜：躺在床上之後主動拍我一下要我和她西斯.[https://www.ptt.cc/bbs/sex/M.1408643179.A.2F7.html]"
"BS-1013"	"献身"	"自愿跟别人的男人发生性关系"	"Metaphor"	"我知道现在江湖上想献身给你的女人太多了，只要你点头，几乎没有一个女人不想亲近你。(Zhu 2018, p. 328)"
"BS-1014"	"襄王梦"	"男女欢合"	"Metaphor"	"唐 · 胡曾 《咏史·阳台》：“何人更有 襄王 梦，寂寂 巫山 十二重。”"
"BS-1015"	"邂逅"	"性交"	"Metonymy"	"章炳麟《菌说》： “夫妇邂遘，一滴之精，有精虫十数，入嚙泡蜑而破之，以成妊娠。”"
"BS-1016"	"幸"	"特指帝王与女子同房"	"Metonymy"	"《史记：项羽本纪》： “妇女无所幸。”"
"BS-1017"	"行房事"	"性交"	"Metonymy"	"天天行房会不会影响精子质量和我们的工作？[https://news.bangkaow.com/jyyw/202107/46225.html]"
"BS-1018"	"行事"	"进行性行为"	"Metonymy"	"《初刻拍案惊奇》卷六：“行事已毕， 巫娘子 兀自昏眠未醒。”"
"BS-1019"	"行阴"	"进行性行为"	"Metonymy"	"《灵枢经：口问》：“胃不实则诸脉虚，诸脉虚则筋脉懈惰，筋脉懈惰则行阴用力，气不能復。”"
"BS-1020"	"行云"	"进行性行为"	"Metaphor"	"宋 · 柳永 《西施》词之二： “洞房咫尺，无计枉朝珂。有意怜才，每遇行云处，幸时恁相过。”"
"BS-1021"	"嗅蜜"	"跟女孩子厮混在一起"	"Metaphor"	"嗅蜜就是泡妞的意思。[http://www.lizhidaren.com/jingdianyulu/8767.html]"
"BS-1022"	"寻欢"	"性交"	"Metonymy"	"夜夜至妓院寻欢。(CCL)"
"BS-1023"	"燕好"	"男女欢合"	"Metonymy"	"清 · 蒲松龄 《聊斋志异：狐妾》： “俄偕一婢，拥垂髫儿来…… 刘 諦视，光艳无儔，遂与燕好。”"
"BS-1024"	"艳事"	"男女间风流的性爱故事"	"Metonymy"	"二姑娘的年岁不大，风流艳事并不少。(Zhu 2018, p. 256)"
"BS-1025"	"艳史"	"男女间风流的性爱故事"	"Metonymy"	"我们在报纸上再登他几段关于张教授的艳史。(Zhu 2018, p. 256)"
"BS-1026"	"艳诗"	"描写男女性爱的色情诗"	"Metonymy"	"[他]也做过一些艳诗。(Zhu 2018, p. 256)"
